Movie,Release Year,John Siracusa's Rating
Jaws 3-D,1983,0.0
Airplane II: The Sequel,1982,0.0
The Beastmaster,1982,2.0
Fast Times at Ridgemont High,1982,0.0
White Dog,1982,1.5
Blade Runner,1982,4.5
Annie,1982,3.5
The Secret of NIMH,1982,4.0
Firefox,1982,2.5
Star Trek II: The Wrath of Khan,1982,0.0
Rocky III,1982,0.0
E.T. the Extra-Terrestrial,1982,3.5
Pink Floyd - The Wall,1982,2.5
Koyaanisqatsi,1982,0.0
Time Bandits,1981,3.5
The Fox and the Hound,1981,0.0
Dragonslayer,1981,3.0
Stripes,1981,0.0
For Your Eyes Only,1981,0.0
History of the World: Part I,1981,0.0
Raiders of the Lost Ark,1981,5.0
Excalibur,1981,3.5
Clash of the Titans,1981,2.5
Superman II,1980,3.5
Raging Bull,1980,4.5
Airplane!,1980,0.0
The Shining,1980,4.5
The Empire Strikes Back,1980,5.0
The Black Hole,1979,0.0
Dumbo,1941,0.0
Fantasia,1940,2.5
Pinocchio,1940,2.5
Gone with the Wind,1939,4.0
Snow White and the Seven Dwarfs,1937,2.5
King Kong,1933,0.0
